,Фактор_1,Фактор_2,Фактор_3,Фактор_4,Фактор_5
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Burger King в ТЦ Сенная]",0.5400056931684069,0.1020077746539295,0.17256988180556979,-0.14342191901936346,0.30228072494931674
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Rostic's в ТЦ Сенная]",0.4336972862467094,0.21853248908878267,0.1742517787861218,-0.33927471102376594,0.40930547026694286
"В этом заведении всегда быстрое обслуживание, даже в час-пик [Вкусно - и точка в ПИКе]",0.358026494645116,0.244189628553052,0.019021866921952194,0.015058068304797176,0.6856372550848787
Путь до заведения не занимает много времени [Усы лисы],-0.2675907356353016,0.7054657494638443,-0.14580664576908664,0.15479599757353102,0.008641518837177266
Путь до заведения не занимает много времени [Столовая на БМ],0.47554310231472496,0.07513894706899814,0.49267378070204376,0.020495164232939626,0.3128403270727786
Путь до заведения не занимает много времени [Теремок],0.09292399122270491,0.536816446074442,0.5213413958748918,0.03713572591396555,0.20737636116096958
Путь до заведения не занимает много времени [Евразия],0.10087441168549653,0.48773265676464567,0.5216704682393486,0.02327538045525645,0.08837731541943467
Путь до заведения не занимает много времени [Burger King в ТЦ Сенная],0.2075243857665057,0.5461038031384093,0.20344956096357886,0.3033512846089001,0.11626307653237945
Путь до заведения не занимает много времени [Rostic's в ТЦ Сенная],0.2075312791756167,0.5460553998483176,0.20348943602797362,0.30333138884898664,0.11625187776729956
Путь до заведения не занимает много времени [Вкусно - и точка в ПИКе],0.2080316017898519,0.5308923103129187,0.18948992729859335,0.3361709847709186,0.09971595736216622
Цена блюд соответствуют их качеству [Усы лисы],0.26081303578230536,0.7709468444456736,0.1117563501942896,0.08759959548770742,-0.10495960262351907
Цена блюд соответствуют их качеству [Столовая на БМ],0.1343763275459271,0.008527969334648436,0.13938133407622938,0.7949937744542538,0.10315240220015193
Цена блюд соответствуют их качеству [Теремок],0.16319700621018182,0.1539665059330498,0.8200126656269361,0.09652180338396135,0.0806107978363711
Цена блюд соответствуют их качеству [Евразия],0.4505426331692357,-0.11334410234588557,0.2004345863721765,-0.06978272593853302,0.4940412926107584
Цена блюд соответствуют их качеству [Burger King в ТЦ Сенная],0.8001196392652196,0.07710584476852914,0.24904080388093214,0.2679748763069251,0.13081413788284738
Цена блюд соответствуют их качеству [Rostic's в ТЦ Сенная],0.904560526683408,0.0887007534235949,0.20381687642453308,0.11458299852421237,0.13126680147042638
Цена блюд соответствуют их качеству [Вкусно - и точка в ПИКе],0.8344976818371371,0.16864304352725457,0.07861064131337014,0.03977264944558103,0.18743865583631822
Порции в заведении соответствуют цене [Усы лисы],0.3151205362871575,0.7537090820929573,0.16060499939515857,0.009923072332661516,-0.08131935152606186
Порции в заведении соответствуют цене [Столовая на БМ],0.26033529252618154,0.04019935587257805,0.07602832335809642,0.8440209915238688,-0.038314938582686545
Порции в заведении соответствуют цене [Теремок],0.08304077212408911,0.14973240275834127,0.8777277582224221,-0.01379990881788342,-0.01627183981239377
Порции в заведении соответствуют цене [Евразия],0.4725618872667717,-0.12597135520699118,0.35630065831253954,-0.28498666993047295,0.35385449240669875
Порции в заведении соответствуют цене [Burger King в ТЦ Сенная],0.6517861788611141,0.32461980959965936,0.11949845356671723,0.09790963651749336,0.0499330649108814
Порции в заведении соответствуют цене [Rostic's в ТЦ Сенная],0.7653196330988293,0.12114429667596358,0.02861741103276397,0.15723286480198018,-0.13198986258227005
Порции в заведении соответствуют цене [Вкусно - и точка в ПИКе],0.7586327011298338,0.2648936585895728,-0.034381585339653714,0.33832409495700233,0.18573306935659606
В заведении выгодные цены [Усы лисы],0.052819202349778376,0.6881759967694474,0.032882152448898416,0.08615134316911087,0.23539124912769252
В заведении выгодные цены [Столовая на БМ],0.23455084541257123,-0.064957773873934,0.17238725724019163,0.8397745079506381,-0.10328752307816567
В заведении выгодные цены [Теремок],-0.08219960269746734,-0.046463213610735334,0.8883220251332675,0.11076565294952209,-0.08912987850042785
