,Эксперт_Фактор_1,Эксперт_Фактор_2,Эксперт_Фактор_3
Насколько для вас важен состав еды по КБЖУ?,-0.03158080455343215,-0.007881846689059472,0.9510399097425656
Насколько вы привередливы к еде?,-0.11424187266842778,-0.8794433563374088,0.003782108885800507
Как часто вы едите вне дома в учебное время?,0.6743193724465493,0.023817355695787263,-0.24622863146017263
Ваш пол:_Мужской,0.5194203038610185,0.4946632391814069,-0.09714205251816882
Ваш средний бюджет на 1 обед:_500-800 руб,0.709793497253761,0.0724124726546306,0.25386892114404785
Ваш средний бюджет на 1 обед:_До 300 руб,-0.5880153726849612,0.618616303979472,0.08828865112733497
