,F1,F2,F3
Усы лисы,0.153,0.944,-0.001
Теремок,0.156,-0.187,0.887
Вкусно – и точка,0.883,0.18,0.274
Burger King,0.89,0.131,0.327
Столовая на БМ,0.343,0.37,0.586
Rostic's,0.922,0.104,0.181
Евразия,0.511,0.229,0.688
