,Эксп_F1,Эксп_F2
Ваш пол:,-0.22862937547685544,0.5906552620175888
Ваш средний бюджет на 1 обед:,0.844516229630761,0.17978359438859096
Насколько для вас важен состав еды по КБЖУ?,0.1694622290055696,-0.0029862824836029652
Насколько вы привередливы к еде?,-0.2525887900097621,-0.7178195434402506
Как часто вы едите вне дома в учебное время?,-0.3403344558739311,0.1917806203726755
